N_prog;Num_archivio;data_rilascio_prima_autorizzazione;Nome_Impresa_agricola;Azienda_zootecnica;CAP;sede_impresa_agricola;indirizzo_impresa_agricola;CCIAA;pref;tel;società;malga;PEC;indirizzo_e_mail;Altitudine;Latitudine;Longitudine;Comune_Sede_Agriturismo;Indirizzo_agriturismo;Denominazione_Agriturismo;N_appartamenti;N_stanze_in_appartamento;Tot_posti_letto_in_appartamento;N_bagni_appartamento;N_Stanze;Tot_posti_letto_in_stanze;N_bagni_in_stanze;N_tot_stanze_e_stanze_in_appartamento;Tot_posti_letto;Alloggio_in_appartamenti;Alloggio_in_stanze;Prima_colazione;Ristorazione_solo_per_alloggiati;Servizio_Ristorante_per_passanti;N_posti_tavola_interni_a_struttura;N_posti_tavola_esterni_alla_struttura;N_tot_posti_tavola;N_tot_Bagni;Agricampeggio;N_piazzole;N_tot_posti_in_campeggio;Fattoria_didattica;Altre_attività_ricreative;Degustazione;Classificazione_punteggio_tabella_1;Classificazione_punteggio_tabella_2;Classificazione_punteggio_tabella_3;ASSEGNAZIONE_MARGHERITE
373;719;21/12/2012;BERTOLINI ORLANDO;si;38029;Vermiglio;Via Del Barech 42 - Pizzano;208281;0463;758065;no;no;BERTOLINIORLANDO@PEC.COLDIRETTI.IT;;0;;;Vermiglio;Località Velon 10;BIO AGRITUR MASO CELESTA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;30;0;30;2;no;0;0;no;;si;25;27;10;3
374;720;07/12/2012;POVINELLI MAURO;si;38080;Carisolo;Via Dei Campi 25;196799;0465;503023;no;no;mauro.povinelli@pec.agritel.it;povinellimm@alice.it;0;;;Carisolo;Località Bò - Via Dei Campi 25;LA STRIA DI BO';0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;si;;si;8;21;5;2
375;721;05/02/2013;SCHELFI ANGELO;si;38060;Brentonico;Località Festa 6/A;206548;0348;4905433;no;no;angelo.schelfi@pec.agritel.it;info@agribaldo.it;0;;;Brentonico;Località Festa 6/A;AGRIBALDO;3;4;12;3;0;0;0;4;12;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;35;27;12;3
376;722;04/12/2012;MATTEOTTI PAOLO;no;38074;Dro;Via Marocche 7 - Loc. Pietramurata;194163;0349;2894600;no;no;paolo.matteotti@pec.agritel.it;paolotti82@gmail.com;0;;;Dro;Località Pietramurata - Via Marocche 7;AGRICAMPEGGIO PAOLINO;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;si;14;30;no;;no;13;16;5;2
377;723;06/03/2013;AZIENDA AGRICOLA MASO BARCO DI MICHELON SERGIO E FRANCO S.S.;no;38010;Faedo;Località Maso Barco 12;197954;0340;2248073;si;no;AGRITURMASOBARCO@PEC.IT;info@agriturmasobarco.it;0;;;Faedo;Località Maso Barco 12;AGRITUR MASO BARCO;0;0;0;0;10;20;10;10;20;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;26;22;6;2
378;724;26/03/2013;DEBIASI FRANCO;no;38049;Vigolo Vattaro;Via XXI Aprile n. 2;150090;0333;2358694;no;no;franco.debiasi@pec.agritel.it;info@agriturismolaval.it;0;;;Vigolo Vattaro;Via Bersaglio 24;AGRITURISMO LA VAL;0;0;0;0;6;16;6;6;16;no;si;si;no;si;25;0;25;2;no;0;0;si;;si;37;38;13;3
379;725;11/03/2013;S.A.S. SOTO AL CROZ DI CANEPPELE FULVIO E CORRADI MARISA;si;38046;Lavarone;Via Thiene 14;198581;0339;5613802;si;no;SOTOALCROZ@PEC.IT;fulviocaneppele@alice.it;0;;;Lavarone;Frazione Magrè;SOTO AL CROZ;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;si;;no;5;13;7;2
380;726;11/04/2013;MADONNA DELLE VITTORIE SOCIETA' SEMPLICE - SOCIETA' AGRICOLA;no;38062;Arco;Via Linfano 31;178536;0464;505432;si;no;MADONNADELLEVITTORIE@PEC.IT;info@madonnadellevittorie.it;0;;;Arco;Via Linfano 81;MADONNA DELLE VITTORIE;2;4;10;2;0;0;0;4;10;si;no;no;no;si;38;22;60;2;no;0;0;no;;si;;;;3
381;727;15/03/2013;SANTULIANA RENATO;no;38062;Arco;Via Fornaci n. 23/B;186491;0464;510048;no;no;MASOBOTES@PEC.POSTAPAT.INFO;santuliana.renato@virgilio.it;0;;;Arco;Fraz. Varignano - Loc. Olif De Bòtes n. 1;MASO BO`TES;0;0;0;0;7;14;7;7;14;no;si;si;no;no;0;0;0;0;no;0;0;no;;si;33;31;17;4
382;728;13/02/2013;CHENETTI SILVANO;si;38036;Pozza di Fassa;Loc. Ramon - Pera di Fassa;179695;0335;308259;no;no;CHENETTISILVANO@PEC.COLDIRETTI.IT;info@agrituraguabiencia.it;0;;;Pozza di Fassa;Località Ramon - Pera di Fassa;AGRITUR AGUA BIENCIA;0;0;0;0;8;16;8;8;16;no;si;si;no;si;45;0;45;2;no;0;0;no;;si;35;29;17;4
383;729;17/04/2013;BETTA RUDI S.A.S;no;38062;Arco;Via Passirone 29;212942;0333;8797212;si;no;BETTARUDI@LEGALMAIL.IT;info@agriturlacort.it;0;;;Arco;Via Passirone 29;AGRITUR LA CORT;2;2;8;2;8;16;8;10;24;si;si;si;no;no;0;0;0;0;no;0;0;no;;no;23;26;10;3
384;730;16/05/2013;MASO SANTA LUCIA DI BRUNO E MAURO LUTTEROTTI S.S.A.;no;38074;Dro;Via Torre 6;208643;0464;504008;si;no;MASOSANTALUCIA@LEGALMAIL.IT;info@agriturmasosantalucia.com;0;;;Dro;Località Santa Lucia 3;AGRITUR MASO SANTA LUCIA;0;0;0;0;12;24;12;12;24;no;si;si;no;no;0;0;0;0;no;0;0;no;;si;31;25;15;4
385;731;17/11/2008;FRANCH ANDREA;no;38020;Cloz;Via De Martini 42;151356;0339;2835358;no;no;FRANCHANDREA@CIA.LEGALMAIL.IT;agrituralcanyon@hotmail.it;0;;;Cloz;Via G. De Martini 42;AGRITUR AL CANYON;0;0;0;0;8;18;8;8;18;no;si;si;no;no;0;0;0;0;no;0;0;no;;si;25;26;15;4
386;732;21/06/2013;GIACOMELLI SABRINA;si;38037;Predazzo;Strada Ai Bersagli 5;210480;0347;350243;no;si;sabrina.giacomelli@pec.agritel.it;giacomellisabrina@virgilio.it;0;;;Predazzo;Località Valmaggiore;MALGA VALMAGGIORE;0;0;0;0;0;0;0;0;0;no;no;no;no;si;40;18;58;2;no;0;0;no;;no;16;21;2;2
387;733;20/06/2013;SOCIETA' AGRICOLA FABEN MIRKO & C. S.A.S.;si;37053;Cerea (VR);Via Dei Mori 41;213858;0442;35107;si;si;societaagricolafaben@legalmail.it;fabenmirkosas@gmail.com;0;;;Brentonico;Località Polsa;MALGA SUSINE;0;0;0;0;0;0;0;0;0;no;no;no;no;si;20;10;30;2;no;0;0;no;;si;17;23;10;3
388;735;25/06/2013;CROCE MICHELANGELO;si;38035;Moena;Strada Marcialonga 32;187178;0462;574601;no;no;michelangelo.croce@pec.agritel.it;info@agriturelmas.it;0;;;Moena;Strada Saslonch 176;AGRITUR EL MAS;0;0;0;0;0;0;0;0;0;no;no;no;no;si;35;0;35;2;no;0;0;no;;si;;;;
389;736;04/07/2013;SEBBEN DANIELA;si;38051;Ronchi Valsugana;Via Maso Valle 4;213512;0328;7479787;no;no;AGRISERVIZITN@PEC.IT;agriturparadiso@gmail.com;0;;;Roncegno;Località Trenca;AGRITUR PARADISO;0;0;0;0;0;0;0;0;0;no;no;no;no;si;15;0;15;1;no;0;0;no;;no;19;25;10;3
390;736;22/07/2014;SEBBEN DANIELA;si;38051;Ronchi Valsugana;Via Maso Valle 4;213512;0328;7479787;no;si;AGRISERVIZITN@PEC.IT;;0;;;Ronchi Valsugana;Loc. Casapinello;MALGA CASAPINELLO;0;0;0;0;0;0;0;0;0;no;no;no;no;si;10;0;10;1;no;0;0;no;;no;13;13;1;2
391;737;31/05/2013;PINAMONTI ANDREA;si;38010;Tassullo;Strada delle 4 Ville 3;155019;0463;450363;no;si;andrea.pinamonti@pec.agritel.it;andreapinamonti@alice.it;0;;;Tuenno;Località Pradedont Malga;MALGA PRADEDONT;0;0;0;0;3;6;3;3;6;no;si;si;no;si;30;0;30;2;no;0;0;si;;no;19;25;11;3
392;738;03/07/2013;PARTELI MASSIMO;no;38010;Smarano;Via Pret 17;212715;0349;7166183;no;no;massimo.parteli@pec.coldiretti.it;massimo.parteli@pec.coldiretti.it;0;;;Smarano;Via Fontana 2;AGRITUR PARTELI;3;4;9;3;0;0;0;4;9;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;14;16;5;2
393;739;30/07/2013;MASO MOLIN DELLA FAMIGLIA FACCHINELLI  S.S.A.;si;38033;Cavalese;Loc. Lagorai, 3/A - fraz.Masi;214629;0462;230753;si;no;MASOMOLIN@LEGALMAIL.IT;;1000;;;Cavalese;Loc. Lagorai, 3/A - fraz.Masi;AGRITUR MASO MOLIN;0;0;0;0;13;21;11;13;21;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;33;22;5;2
394;740;09/08/2013;INAMA UGO;no;38010;Coredo;Loc. Tavon 29;212601;0328;3633973;no;no;UGO.INAMA@PEC.IT;u.inama@alice.it;0;;;Coredo;Via Apena n. 8;AGRITUR RIZZI DI INAMA UGO;3;7;12;3;0;0;0;7;12;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;19;12;7;2
395;741;15/07/2013;ALESSANDRI LUCA;si;38010;Tassullo;Via Di Campo 24;213412;0348;3695792;no;si;LUCA77@PEC.IT;info@bordolona.net;0;;;Bresimo;Locallità Alpe Bordolona;MALGA BORDOLONA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;44;16;60;3;no;0;0;no;;no;15;26;7;2
396;742;04/09/2013;ANEGHE TANEGHE S.S.A.;no;38010;San Michele a/A;Via S.Antonio n. 3;214597;0461;601912 cel 349-3643002;si;no;ANEGHETANEGHE@CIA.LEGALMAIL.IT;info@aneghetaneghe.com;180;;;San Michele a/A;Via S.Antonio n.3 - Fr.Grumo;ANEGHE TANEGHE S.S.A.;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;si;;no;3;13;2;1
397;743;21/06/2012;PLANCHER PATRIZIA;no;38020;Livo;Frazione Preghena civico 108;169217;0338;4553275;no;si;patriziaplancher@cia.legalmail.it;patriziaplancher@libero.it;0;;;Bresimo;Loc. Malga Preghena;MALGA PREGHENA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;25;35;60;2;no;0;0;no;;si;16;26;12;3
398;744;31/10/2013;AZIENDA AGRICOLA OBARLAITN SAS;si;38040;Luserna;Via Cima Nora 34;215336;0464;789723;si;no;OBARLAITN@PEC.AGRITEL.IT;info@agriturgaleno.it;0;;;Luserna;Via Cima Nora 34;AGRITUR GALENO;0;0;0;0;12;24;12;12;24;no;si;si;no;si;60;0;60;2;no;0;0;no;;no;37;26;17;4
399;745;30/10/2013;COLLINI LUCA;si;38086;Pinzolo;Via Val Brenta 14;149163;0335;5322915;no;no;LUCA.COLLINI@PEC.COLDIRETTI.IT;alex.salvadori@teletu.it;0;;;Pinzolo;Loc. S. Antonio Mavignola Via Val Brenta 14;LA REGINA;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;si;;si;;;;
400;746;03/12/2013;PAOLI ALESSANDRA;no;38049;Vigolo Vattaro;Località Pozze 3;147125;0461;847019;no;no;ALESSANDRA.PAOLI@PEC.IT;info@berryhouse.it;0;;;Vigolo Vattaro;Località Pozze 2;BERRY HOUSE;0;0;0;0;6;16;6;6;16;no;si;si;no;si;25;0;25;1;no;0;0;si;;si;45;40;20;5
401;747;05/12/2013;GUADAGNINI ANDREA;si;38035;Predazzo;Via Fiamme Gialle 67;126995;0347;7730839;no;si;guadagniniandrea@pec.it;;0;;;Moena;Località Valbona;AGRITUR MALGA POZZA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;40;0;40;3;no;0;0;no;;no;14;15;1;2
402;748;06/12/2013;MASO LENA DI DELLAGIACOMA FABIO E FIGLI S.S.A.;si;38037;Predazzo;Via Salita Alla Cascata 3;215497;0340;7128301;si;no;fabio.dellagiacoma@pec.agritel.it;info@masolena.it;0;;;Predazzo;Via Salita Alla Cascata 3;AGRITUR MASO LENA;0;0;0;0;8;24;8;8;24;no;si;si;no;si;60;0;60;2;no;0;0;no;;si;38;25;15;4
403;748/bis;20/06/2014;MASO LENA DI DELLAGIACOMA FABIO E FIGLI S.S.A.;si;38037;Predazzo;Via Salita Alla Cascata 3;215497;0340;7128301;si;si;fabio.dellagiacoma@pec.agritel.it;info@masolena.it;0;;;Moena;Località Boce;MALGA BOCCHE;0;0;0;0;0;0;0;0;0;no;no;no;no;si;30;0;30;1;no;0;0;no;;si;;;;
404;749;18/12/2013;CONCI ALEX;si;38057;Pergine Valsugana;Madrano - Via Valgranda 5;214949;0349;822715;no;si;ALEX.CONCI@PEC.AGRITEL.IT;;0;;;Fierozzo;Località Valcava;MALGA PLETZN;0;0;0;0;1;2;1;1;2;no;si;si;no;si;30;15;45;1;no;0;0;no;;si;;;;
405;750;13/12/2013;CIOLA FRANCESCO;no;38052;Caldonazzo;Via Brenta 70/A;185433;0347;3133893;no;no;PEROTINI@PEC.IT;perotin1984@libero.it;0;;;Caldonazzo;Via Brenta 70/A;AGRITUR DAL PEROTIN;0;0;0;0;4;7;4;4;7;no;si;si;no;si;25;0;25;2;no;0;0;no;;no;29;29;15;4
406;751;19/12/2013;ROZZA CLAUDIO;si;38050;Novaledo;Via Furlan 8;158751;0349;3828745;no;si;CLAUDIOROZZA@PEC.IT;claudio.rozza1@virgilio.it;0;;;Novaledo;Loc. Malga Masi;MALGA MASI;0;0;0;0;4;8;0;4;8;no;si;si;no;si;43;17;60;2;no;0;0;si;;si;37;29;17;4
407;753;24/12/2013;Azienda Agricola Ruatti Giovanni & C. Società Semplice Agricola;si;38020;Rabbi;Frazione Pracorno 95/A;215010;0463;901070;si;no;AZIENDARUATTI@CIA.LEGALMAIL.IT;;0;;;Rabbi;Frazione Pracorno 95/A;AGRITUR RUATTI;0;0;0;0;15;30;15;15;15;no;si;si;no;si;40;0;40;2;no;0;0;si;;si;;;;
408;754;14/01/2014;Azienda Agricola Maso Speron D'Oro SAS;no;38068;Rovereto;Fraz. Marco - Loc. Gazzi 24;194468;0464;943189;si;no;MASOSPERONDORO@PEC.IT;;0;;;Rovereto;Fraz. Marco - Loc. Gazzi 24;MASO SPERON D'ORO;4;4;8;4;9;17;9;13;25;si;si;no;no;no;0;0;0;0;no;0;0;no;;no;29;28;15;4
409;755;18/12/2013;PANCHERI LINO;si;38022;Caldes;Via Delle Vialade 18;154958;0463;902690;no;no;PANCHERI.LINO@CIA.LEGALMAIL.IT;francescopancheri@gmail.com;0;;;Malè;Via Degli Alpini 14;AGRITUR SOLE LEVANTE;0;0;0;0;7;14;7;7;14;no;si;si;no;si;23-35;0;58;2;no;0;0;no;;si;37;29;11;3
410;755/bis;19/05/2014;PANCHERI LINO;si;38022;Caldes;Via Delle Vialade 18;154958;0463;902690;no;si;PANCHERI.LINO@CIA.LEGALMAIL.IT;;0;;;Ossana;Loc. Valpiana;MALGA VALPIANA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;35;0;35;2;no;0;0;no;;si;;;;
411;756;25/07/2013;LORENZETTI BRUNO;no;38020;Castelfondo;Via Dante Alighieri 7/B;152668;0340;9191240;no;no;bruno.lorenzetti@pec.agritel.it;lorenzetti.bruno@virgilio.it;0;;;Castelfondo;Via Dante Alighieri 7/B;AGRITUR MELANGO;0;0;0;0;2;3;2;2;3;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;28;13;2;2
412;757;29/06/2012;MOSER MARIA;no;38042;Baselga di Pinè;Frazione Faida 83;210462;0349;8646041;no;no;maria.moser1968@pec.agritel.it;naturaltrotto@live.it;0;;;Baselga di Pinè;Fraz. Miola Loc. Poggio dei Pini;NATURA AL TROTTO;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;si;;no;13;7;8;2
413;758;29/01/2014;PRETI DONATO;no;38028;Cagnò;Via Nazionale 22;162749;0463;432733;no;no;DONATOPRETI@PEC.IT;donatopreti@yahoo.it;0;;;Cagnò;Via Nazionale 22;AGRITUR CASA PRETI;0;0;0;0;5;12;5;5;12;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;;;;
414;759;13/02/2014;Società Agricola Semplice Bampi Silvio e Jobstraibizer Laura;si;38121;Trento;Loc. Zell di Cognola 65;196986;0461;231684;si;no;BAMPI.IOBSTRAIBIZER@PEC.COLDIRETTI.IT;silvio.bampi@virgilio.it;0;;;Trento;Via Dei Bergamini 6;AGRITUR CALCAIOL;0;0;0;0;0;0;0;0;0;no;no;no;no;si;50;0;50;2;no;0;0;no;;no;26;30;15;4
415;760;26/03/2014;GIONGO ROBERTA;no;38050;Novaledo;Via S. Desiderio 11;203788;0461;721283;no;no;AIMASI@PEC.CONFAGRICOLTURATN.IT;azienda.ai masi@hotmail.it;0;;;Novaledo;Via S. Desiderio 11;AZIENDA AGRICOLA AI MASI;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;si;;no;16;22;7;2
416;761;15/04/2014;TAVONATTI GIANNI;no;38010;Coredo;Fr. Tavon - Via Canestrini 4;157391;0340;4733135;no;no;TAVONATTIG@PEC.IT;tavonattigianni@alice.it;0;;;Coredo;Via Canestrini 4;AGRITUR VENTO ALPINO;0;0;0;0;4;12;4;4;12;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;24;7;0;2
417;762;14/02/2014;DEPAOLI PIO;no;38010;Coredo;Via Maso Rauti 7;163865;0335;6762208;no;no;PIO.DEPAOLI@PEC.IT;p.dep.@live.it;0;;;Coredo;Via Maso Rauti 7;AGRITUR AL MASO;0;0;0;0;5;11;5;5;11;no;si;si;no;no;0;0;0;0;no;0;0;no;;si;38;36;11;3
418;763;30/05/2014;Azienda Agricola M2G di Giulio Biasizzo S.S.;no;38086;Spiazzo;Fraz. Borzago - Loc. Prà;216896;0335;7469189;si;no;m2gaziendaagricola@legalmail.it;;0;;;Spiazzo;Fraz. Borzago - Località Prà;AGRITUR BAITE DI PRA';0;0;0;0;7;15;7;7;15;no;si;si;no;si;25;0;25;2;no;0;0;no;;no;35;30;17;4
419;764;06/06/2014;MAGNONI RENATA;si;38020;Rabbi;Fraz. Piazzola civico 216/C;178752;0463;985060;no;si;renata.magnoni@pec.agritel.it;mauro61dalpez@gmail.com;0;;;Rabbi;Loc. Alpe di Fratte;AGRITUR MALGA FRATTE;0;0;0;0;0;0;0;0;0;no;no;no;no;si;20;10;30;2;no;0;0;no;;si;14;23;5;2
420;765;18/06/2014;BAZZANELLA REMO;si;38048;Sover;Loc. Slosseri 4/A;148773;0348;7262350;no;si;remo.bazzanella@pec.agritel.it;;0;;;Sover;Località Vernera;MALGA VERNERA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;34;16;50;1;no;0;0;si;;si;11;18;2;2
421;766;02/04/2014;PANCHERI PIETRO;no;38020;Romallo;Via 4 Novembre 33;154971;0348;3345105;no;no;PIETROPANCHERI@PEC.IT;;0;;;Romallo;Via 4 Novembre 33;AGRITUR LASTE ROSSE;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;no;;si;;;;
422;767;01/07/2014;VALORZ MASSIMO;no;38027;Croviana;Via Nazionale 85;102932;0335;8281980;no;no;massimo.valorz@pec.agritel.it;info@agriturmelissa.it;0;;;Croviana;Via Nazionale 87;AGRITUR MELISSA;0;0;0;0;3;7;3;3;7;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;;;;
423;768;21/07/2014;BERGAMINI RAUL;no;38057;Pergine Valsugana;Loc. Visintainer - Fornaselle 11/A;216256;0331;1708010;no;no;AZIENDABERGAMINI@PEC.IT;raulbergamini@hotmail.com;0;;;Arco;Località Laghel 19;AGRITUR ALLA SORGENTE;0;0;0;0;2;4;2;2;4;no;si;si;no;no;0;0;0;0;no;0;0;si;;no;15;30;11;3
424;769;04/07/2014;Rasom Filippo Società Semplice Agricola;si;38039;Vigo di Fassa;Via Strada De Val 11;213858;0329;9355396;si;no;FILIPPO.RASOM@PECAGROTECNICI.IT;filippo.rasom@yahoo.it;0;;;Vigo di Fassa;Via Strada de Val 11;AGRITUR MAJON DA MONT;0;0;0;0;9;18;9;9;18;no;si;si;no;si;27;0;27;2;no;0;0;no;;si;42;32;16;4
425;770;02/07/2014;DOGAL SOCIETA' AGRICOLA S.S.;si;36030;Villaverla (VI);Via Cimitero 17/B;268506;0445;856559;si;si;fattoriadogal@pec.telemar.it;;0;;;Levico Terme;Loc. Vezzena - Via Dei Forti;MALGA CIMA VERLE;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;no;;si;;;;2
426;771;19/05/2014;MARTINELLI ALBINO;no;38061;Ala;Via Verdi 6;153648;0464;696116;no;no;albinomartinelli@pec.it;;0;;;Ala;Via Verdi 6;WINEVISTA;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;si;;si;10;28;8;2
427;772;11/07/2014;PINAMONTI ALESSANDRO;si;38019;Tuenno;Via Leonardi 24;217258;0392;589710;no;si;ALESSANDRO.PINAMONTI@PEC.MALGATUENA.IT;info@malgatuena.it;0;;;Tuenno;Loc. Malga Tuena;MALGA TUENA;0;0;0;0;2;4;1;2;4;no;si;si;no;si;15;20;20;1;no;0;0;no;;si;30;32;7;2
428;773;31/07/2014;FRIZZI SORENSEN GIORGIO;no;38066;Riva del Garda;Via Fangolino 3;163222;0333;6917855;no;no;frizziamministrazione@pec.it;info@frizzirivadelgarda.it;0;;;Riva d/Garda;Via Fangolino 3;VERDEPIANO;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;si;12;30;no;;no;10;5;5;2
429;774;07/08/2014;RIZZARDI FAUSTO;no;38010;Coredo;Via Trento 1/A;156063;0463;536878;no;no; fausto.rizzardi@pec.agritel.it;az.agr.fabri@gmail.com;0;;;Coredo;Via Trento 1/A;CASA FABRI;0;0;0;0;3;6;3;3;6;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;33;12;10;2
430;775;13/06/2012;TURRA MARIA;si;38054;Tonadico;Via Aisenponeri 64;157254;0347;2609195;no;si;maria.turra1964@pec.agritel.it;;0;;;Tonadico;Località Passo Valles;AGRITUR MALGA VALLAZZA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;50;10;60;3;no;0;0;no;;si;;;;
431;776;28/08/2014;Azienda Agricola Batistì di Oradini Daniele, Segalla Marina e Oradini Matteo SAS;si;36030;Ledro;Loc. Derco 5;217092;0347;5981396;si;no;AZ.AGRICOLA.BATISTI@PEC.AGRITEL.IT;az.agricolaoradini@gmail.com;0;;;Ledro;Località Derco 5;AGRITUR LA DASA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;40;0;40;2;no;0;0;si;;si;15;33;3;2
432;777;06/06/2014;FRANCH MICHELE;no;38020;Cloz;Via Santo Stefano 78;151343;0463;874546;no;no;M.FRANCH@PEC.IT;informazioni@alrestelar.it;0;;;Cloz;Via Mas Dal Clomper;AGRITUR AL RESTELAR;0;0;0;0;3;7;3;3;7;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;37;26;15;4
